name,description,due_at
Move-On Begins,Organizations start moving on to Midway.,4/13/2018 18:00:00
Construction Begins,Organizations start building booths.,4/13/2018 21:00:00
Blitz Booth Move-On,Blitz organizations move to Midway.,4/14/2018 10:00:00
Final Booth Inspections,University Staff (EH&S) arrive for final booth inspections. Direct them to the Head of Booth.,4/18/2018 12:00:00
Construction Ends,Only four members per organization are allowed to remain on their Midway plot.,4/19/2018 13:00:00
Cleanup Begins,Each organization must send two members to the trailer to help cleanup Midway. Direct them to the Head of Booth.,4/19/2018 13:00:00
Final Fixes Ends,All participants must clear off of Midway.,4/19/2018 15:00:00
Opening Ceromony,"Speeches, ribbon cutting, and Midway officially opens to the public.",4/19/2018 15:30:00
Judging Begins,Judges arrive on Midway. Direct them to the Co-Chairs or Head of Booth.,4/20/2018 13:00:00
Night Judging Begins,Judges arrive on Midway. Direct them to the Co-Chairs or Head of Booth.,4/20/2018 20:00:00
Awards Ceromony,Organizations may close booths without taking downtime for the Awards Ceromony.,4/21/2018 16:30:00
Teardown Begins,Organizations may begin to teardown booths.,4/22/2018 8:00:00
Teardown Required Start,Organizations must have started teardown.,4/22/2018 10:00:00
Teardown Ends,All organizations must be clear of Midway.,4/22/2018 17:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/13/2018 22:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/14/2018 22:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/15/2018 22:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/16/2018 22:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/17/2018 22:00:00
Quiet Hours Start,"Close the shipping container. No loud noise on Midway. If you can hear something outside a booth, it is too loud.",4/18/2018 22:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/14/2018 7:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/15/2018 7:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/16/2018 7:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/17/2018 7:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/18/2018 7:00:00
Quiet Hours End,Noise is allowed on Midway. Loud music that you can hear outside a booth are not allowed.,4/19/2018 7:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/14/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/15/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/16/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/17/2018 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/18/2018 1:00:00
