organization,andrewid,title,binder_admin,booth_chair
Spring Carnival Committee,sc0v,Spring Carnival User,TRUE,TRUE
Spring Carnival Committee,saclark,Co-Chair,TRUE,TRUE
Spring Carnival Committee,asgreen,Advisor,TRUE,TRUE
"Student Leadership, Involvement, and Civic Engagement",asgreen,SLICE Coordinator,,TRUE
Department of Student Affairs,asgreen,SLICE Coordinator,,TRUE
Spring Carnival Committee,oseavy,Head of Booth,TRUE,TRUE
Spring Carnival Committee,hkoschme,Co-Chair,TRUE,TRUE
Spring Carnival Committee,ryerzhan,Head of Operations,,TRUE
Spring Carnival Committee,mzhu3,Assistant Head of Operations,,TRUE
Spring Carnival Committee,jiacobel,Assistant Head of Operations,,TRUE
Spring Carnival Committee,vkalinov,Head of Entertainment,,TRUE
Spring Carnival Committee,vlugo,Head of Marketing,,TRUE
Spring Carnival Committee,yingyingy,Assistant Head of Entertainment and Marketing,,TRUE
Spring Carnival Committee,rnchowdh,Head of Finance,,TRUE
Spring Carnival Committee,jtc1,,,
Spring Carnival Committee,imartins,,,
Spring Carnival Committee,jgrove,,,
Spring Carnival Committee,kaiyiny,,,
Spring Carnival Committee,stulluri,,,
Spring Carnival Committee,stulluri,,,
Spring Carnival Committee,meribyte,,,
Spring Carnival Committee,jlareau,,,
Spring Carnival Committee,msiko,,,
Spring Carnival Committee,tparenti,,,
Spring Carnival Committee,egarbade,,,
Spring Carnival Committee,egarbade,,,
Spring Carnival Committee,agotsis,,,
Spring Carnival Committee,auy,,,
Spring Carnival Committee,dlesh,,,
Spring Carnival Committee,epnewman,,,
Spring Carnival Committee,etrich,,,
Spring Carnival Committee,pnaseck,,,
Spring Carnival Committee,raghavgo,,,
Spring Carnival Committee,robertz1,,,
Spring Carnival Committee,lbressle,,,
Spring Carnival Committee,mshumate,,,
Spring Carnival Committee,nkhera,,,
Spring Carnival Committee,aarohip,,,
Spring Carnival Committee,aguzel,,,
Spring Carnival Committee,agyang,,,
Spring Carnival Committee,angelay1,,,
Spring Carnival Committee,anniech2,,,
Spring Carnival Committee,apbrown,,,
Spring Carnival Committee,asadalis,,,
Spring Carnival Committee,ashashki,,,
Spring Carnival Committee,asmui,,,
Spring Carnival Committee,ccollive,,,
Spring Carnival Committee,dbaratt,,,
Spring Carnival Committee,hgronlun,,,
Spring Carnival Committee,jasmine4,,,
Spring Carnival Committee,jauguste,,,
Spring Carnival Committee,jsshen,,,
Spring Carnival Committee,lilyhuan,,,
Spring Carnival Committee,lqz,,,
Spring Carnival Committee,madhurir,,,
Spring Carnival Committee,mlrednor,,,
Spring Carnival Committee,mtamvaki,,,
Spring Carnival Committee,nthursto,,,
Spring Carnival Committee,rstevens,,,
Spring Carnival Committee,rxun,,,
Spring Carnival Committee,sarahche,,,
Spring Carnival Committee,sataylor,,,
Spring Carnival Committee,vzz,,,
Spring Carnival Committee,xinyuesh,,,
Spring Carnival Committee,zsolan,,,
Spring Carnival Committee,orichard,,,
Spring Carnival Committee,sha2,,,
Spring Carnival Committee,aaquijef,,,
Astronomy Club,amonteav,,,TRUE
Astronomy Club,rjesurum,,,TRUE
Astronomy Club,smabry,,,TRUE
Astronomy Club,salexand,,,TRUE
Astronomy Club,ayx,,,
Astronomy Club,bnowlan,,,
Astronomy Club,cataylor,,,
Astronomy Club,crosier,,,
Astronomy Club,dchyun,,,
Astronomy Club,dominiqp,,,
Astronomy Club,eharel,,,
Astronomy Club,ewenger,,,
Astronomy Club,gopiela,,,
Astronomy Club,hvarekam,,,
Astronomy Club,ikoramba,,,
Astronomy Club,jdabrams,,,
Astronomy Club,katheri2,,,
Astronomy Club,kmquigle,,,
Astronomy Club,mperlowz,,,
Astronomy Club,shori,,,
Astronomy Club,shreyas2,,,
Astronomy Club,svaultz,,,
Astronomy Club,vpatella,,,
Astronomy Club,yuqizhou,,,
Fringe,mhenriks,,,TRUE
Fringe,mwwang,,,TRUE
Fringe,lortega,,,TRUE
Fringe,amandrac,,,
Fringe,amglaser,,,
Fringe,adamc1,,,
Fringe,ahebbar,,,
Fringe,akager,,,
Fringe,nkrupenk,,,
Fringe,afernez,,,
Fringe,amuralle,,,
Fringe,astatham,,,
Fringe,alhoffma,,,
Fringe,ayc1,,,
Fringe,andrewc3,,,
Fringe,aosborn,,,
Fringe,andrewth,,,
Fringe,andrewfw,,,
Fringe,alulushi,,,
Fringe,aschulz,,,
Fringe,anoonan,,,
Fringe,amjones,,,
Fringe,athenac,,,
Fringe,bbrennen,,,
Fringe,bebeling,,,
Fringe,bgarfiel,,,
Fringe,bim,,,
Fringe,cyoustra,,,
Fringe,ccockrel,,,
Fringe,chooper,,,
Fringe,jiayis1,,,
Fringe,cressel,,,
Fringe,chickoff,,,
Fringe,dhk2,,,
Fringe,daphney,,,
Fringe,dmsingh,,,
Fringe,dwcohen,,,
Fringe,dld,,,
Fringe,denisey,,,
Fringe,dsanmigu,,,
Fringe,dilarao,,,
Fringe,drazek,,,
Fringe,dnuxoll,,,
Fringe,eseiler,,,
Fringe,eharold,,,
Fringe,emilychu,,,
Fringe,eeclayto,,,
Fringe,esgeorge,,,
Fringe,esespico,,,
Fringe,ecreed,,,
Fringe,emaburi,,,
Fringe,eharber,,,
Fringe,ezk,,,
Fringe,eschinde,,,
Fringe,fernandw,,,
Fringe,grasskin,,,
Fringe,gordonaw,,,
Fringe,hmahon,,,
Fringe,hweigle,,,
Fringe,helenc1,,,
Fringe,heram,,,
Fringe,hfurnari,,,
Fringe,imagdale,,,
Fringe,itripath,,,
Fringe,jacobdil,,,
Fringe,jaker1,,,
Fringe,jrothsch,,,
Fringe,jtw2,,,
Fringe,jmcarthu,,,
Fringe,jsantama,,,
Fringe,jasoncha,,,
Fringe,jlessioh,,,
Fringe,jdparker,,,
Fringe,jgrantbi,,,
Fringe,rjwallac,,,
Fringe,jrlew,,,
Fringe,jzulinsk,,,
Fringe,jglanzbe,,,
Fringe,jmezavin,,,
Fringe,julesr,,,
Fringe,jcwang1,,,
Fringe,justinw1,,,
Fringe,khelmy,,,
Fringe,kadusumi,,,
Fringe,kdanon,,,
Fringe,lbaldacc,,,
Fringe,amrodri1,,,
Fringe,earmon,,,
Fringe,ltrepp,,,
Fringe,lwidmaye,,,
Fringe,madelind,,,
