name,price
9 Volt Battery,1
Drill Bit,1
Drop Cloth,15
Electrical Box - 1 Gang,1.5
Electrical Box - 2 Gang,1.5
Electrical Box - 4 in Round,3
Electrical Box - 4 in Square,3
Electrical Box Cover - 4 in Round,2
Electrical Box Cover - 4 in Square,2
Joist Hanger - 2x6,2
Joist Hanger - 2x8,2
Light Switch,3
Light Switch Cover,1.5
Outlet,3
Outlet Cover - 1 Gang,1.5
Outlet Cover - 2 Gang,1.5
NEMA Right Angle Plug,15
NEMA 5-20 Plug Straight,15
Romex 12/2 - 10ft,5
Screw Bit - Phillips (x2),1
Screws (x10),1
"Spade Bit - 3/4""",5
Staple Gun Staples (x4 Rows),1
Tarp,15
Wire Nuts (x10),1
Wire Staples (x20),1
Sharpie,1
jigsaw blade (1),5
Paint Roller Cover,3
Belt Sander Belt,10
Caulk (1),3
L Bracket,5
Paint Brush,3
Lamp Holder,15
Saw Blade,10
