name,description,due_at
Move-On Begins,Organizations start moving on to Midway.,4/5/2019 18:00:00
Construction Begins,Organizations start building booths.,4/5/2019 21:00:00
Blitz Booth Move-On,Blitz organizations move to Midway.,4/6/2019 10:00:00
Final Booth Inspections,University Staff (EH&S) arrive for final booth inspections. Direct them to the Head of Booth.,4/10/2019 12:00:00
Construction Ends,Only four members per organization are allowed to remain on their Midway plot.,4/11/2019 13:00:00
Cleanup Begins,Each organization must send two members to the trailer to help cleanup Midway. Direct them to the Head of Booth.,4/11/2019 13:00:00
Final Fixes Ends,All participants must clear off of Midway.,4/11/2019 15:00:00
Opening Ceromony,"Speeches, ribbon cutting, and Midway officially opens to the public.",4/11/2019 15:30:00
Judging Begins,Judges arrive on Midway. Direct them to the Co-Chairs or Head of Booth.,4/12/2019 13:00:00
Night Judging Begins,Judges arrive on Midway. Direct them to the Co-Chairs or Head of Booth.,4/12/2019 20:00:00
Awards Ceromony,Organizations may close booths without taking downtime for the Awards Ceromony.,4/13/2019 16:30:00
Teardown Begins,Organizations may begin to teardown booths.,4/14/2019 8:00:00
Teardown Required Start,Organizations must have started teardown.,4/14/2019 10:00:00
Teardown Ends,All organizations must be clear of Midway.,4/14/2019 17:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/5/2019 22:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/6/2019 22:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/7/2019 22:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/8/2019 22:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/9/2019 22:00:00
Quiet Hours Start,"No loud noise on Midway. If you can hear something outside a booth, it is too loud. Close the shipping container. ",4/10/2019 22:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/6/2019 7:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/7/2019 7:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/8/2019 7:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/9/2019 7:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/10/2019 7:00:00
Quiet Hours End,Noise is allowed on Midway within 20' of an organization's booth. Loud music that you can hear outside a booth are not allowed. Open the shipping container.,4/11/2019 7:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/6/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/7/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/8/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/9/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/10/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/11/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/12/2019 1:00:00
Move Dumpsters,Have a watch shift move dumpsters to the entrance of the parking lot by corner of Tech St. and Margaret Morrison St.,4/13/2019 1:00:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/11/2019 15:30:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/12/2019 11:00:00
Midway Opens,"Each org must have 2 members staffing their booth. Have the Watch Shift check, and put any organization without at least one member on Downtime in Binder.",4/13/2019 11:00:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/11/2019 15:30:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/12/2019 11:00:00
Rides Open,Rides and games are open on the CFA Lawn. Wristbands and tickets can be purchased at the tickets trailer next to Doherty.,4/13/2019 11:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/11/2019 23:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/12/2019 23:00:00
Midway Closes,Everyone must clear Midway. Have the watch shift close the gates at the Margaret Morrison entrance and the Fence entrance to Midway. Have the watch shift put caution tape over the entrances of every booth.,4/13/2019 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/11/2019 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/12/2019 23:00:00
Rides Close,Rides are closed on the CFA Lawn. Have the watch shift stand at the Fence entrance to make sure no one tries to reenter Midway,4/13/2019 23:00:00
