barcode,tool_type,description
1,SCC Radio,Motorola CP200
2,SCC Radio,Motorola CP200
3,SCC Radio,Motorola CP200
4,SCC Radio,Motorola CP200
5,SCC Radio,Motorola CP200
6,SCC Radio,Motorola CP200
7,SCC Radio,Motorola CP200
8,SCC Radio,Motorola CP200
9,SCC Radio,Motorola CP200
10,SCC Radio,Motorola CP200
11,SCC Radio,Motorola CP200
12,SCC Radio,Motorola CP200
13,SCC Radio,Motorola CP200
14,SCC Radio,Motorola CP200
15,SCC Radio,Motorola CP200
16,SCC Radio,Motorola CP200
17,SCC Radio,Motorola CP200
18,SCC Radio,Motorola CP200
19,SCC Radio,Motorola CP200
20,SCC Radio,Motorola CP200
22,SCC Radio,Motorola CP200
23,SCC Radio,Motorola CP200
24,SCC Radio,Motorola CP200
1650,Broom,Push Broom
3297,Broom,
2926,Magnet Broom,
2167,Dustpan,Silver
2161,Dustpan,Silver
1553,Dustpan,Silver
1554,Dustpan,Black
2931,Clamp,
2716,Light,"HDX, Orange"
3235,Clamp,
2594,Clamp,"Irwin, Large, Blue"
1639,Clamp,"Irwin, Large, Blue"
2081,Clamp,"Irwin, Large, Blue"
2591,Clamp,"Irwin, Large, Blue"
2593,Clamp,"Irwin, Large, Blue"
2391,Square,"Swanson, Orange"
3295,Light,
3294,Clamp,
2603,Light,"HDX, Orange"
2036,Drill,Dewalt 18v
2082,Clamp,
1625,Clamp,"Irwin, Small, Blue"
2598,Square Clamp,Wolfcraft
2595,Square Clamp,Wolfcraft
2033,Light,"Clip on, Metal shade"
2597,Square Clamp,Wolfcraft
2601,Light,"Bayco, Yellow"
2596,Square Clamp,Wolfcraft
2105,Clamp,Irwin
2604,Light,"HDX, Orange"
2101,Light,"Clip on, Metal shade"
2103,Light,"Clip on, Metal shade"
1557,Level,4' Yellow
1560,Level,4' Yellow
1556,Level,4' Yellow
2107,Level,4' Red
2032,Level,4' Red
2097,Level,4' Red
1559,Level,4' Yellow
2094,Level,4' Metal
1561,Level,4' Metal
3219,Level,
2155,Level,"2' Empire, Yellow"
3337,Level,4’ Yellow
3338,Light,"HDX, Light"
2098,Level,4' Yellow
3260,Level,yellow tall one
3339,Level,4’ Yellow
2786,Level,4' yellow
3340,Level,4’ Yellow
3341,Lamp,Grey
3342,Clamp,
3343,Clamp,
3344,Clamp,
2811,Saw horse,
2812,Saw horses,
2898,Shop Vac,Blue
1654,Shop Vac,Orange
2897,Shop Vac,Blue
2023,Drill Battery,Dewalt 18v
3345,Drill Battery,Dewalt 18v
1590,Drill Battery,Dewalt 14.4v
2407,Drill Battery,Dewalt 18v
1597,Drill Battery,Dewalt 18v
1604,Drill Battery,DeWalt 18v
2406,Drill Battery,Dewalt 18v
3290,Drill Battery,
2409,Drill Battery,Dewalt 18v
2028,Drill Battery,Dewalt 18v
2404,Drill Battery,
1979,Drill Battery,Dewalt 18v
1983,Drill Battery,Dewalt 18v
2037,Drill Battery,Dewalt 18v
1877,Drill Battery,Dewalt 18v
2024,Drill Battery,Dewalt 18v
2632,Drill Battery,Dewalt 18v
1912,Drill Battery,Dewalt 18v
2868,Drill Battery,
2636,Drill Battery,Dewalt 18v
1587,Drill Battery,Dewalt 18v
2852,Drill Battery,
2939,Drill Battery,
2341,Drill Battery,Dewalt 18v
2399,Drill Battery,Dewalt 18v
2637,Drill Battery,Dewalt 18v
2635,Drill Battery,Dewalt 18v
1916,Drill Battery,Dewalt 18v
2924,Drill Battery,
2035,Drill Battery,Dewalt 18v
1913,Drill Battery,DeWalt 18v
2542,Drill Battery,Dewalt 18v
1594,Drill Battery,DeWalt 18v
1981,Drill Battery,Dewalt 18v
2142,Drill Battery,Dewalt 18v
2019,Drill Battery,Dewalt 18v
1985,Drill Battery,Dewalt 18v
2400,Drill Battery,Dewalt 18v
1987,Drill Battery,Dewalt 18v
2403,Drill Battery,Dewalt 18v
2541,Drill Battery,Dewalt 18v
3348,Drill Battery,Dewalt 18v
3346,Drill Battery,Dewalt 18v
3347,Drill Battery,Dewalt 18v
3349,Drill Battery,Dewalt 18v
2088,Clamp,"Irwin, Small, Blue"
2084,Clamp,"Irwin, Small, Blue"
2085,Clamp,"Irwin, Small, Blue"
3350,Clamp,"Irwin, Small, Blue"
2080,Clamp,"Irwin, Large, Blue"
2351,Hammer,"Kobalt, Blue"
2814,Tape Measure,
2936,Tape Measure,
3281,Stud Finder,
3353,Stud Finder,
3351,Wire Stripper,
3352,Wire Stripper,
1884,Vice Grips,
1944,Phillips Screwdriver,"Task Force, Red & Black"
3289,Staple Gun,
2363,Staple Gun,"Stanely TR-45, Silver"
2934,Staple Gun,
3354,Screw Driver,
2790,Tape Measure,
2896,Shop vac,
3355,Power Strip,
3357,Power Strip,
3356,Power Strip,
3358,Power Strip,
3359,Power Strip,
3360,Power Strip,
3361,Power Strip,
3362,Power Strip,
3363,Power Strip,
3296,Magnet Broom,
2776,Magnet Broom,
2773,Magnet Broom,
2775,Magnet Broom,
2774,Magnet Broom,
2772,Magnet Broom,
1550,Miter Saw,DeWalt
3364,Miter Saw,DeWalt
1648,Staple Gun,
1651,Staple Gun,"Arrow T-50, Silver"
2622,Staple Gun,"Arrow T-50, Silver — BROKEN"
3268,Flathead Screwdriver,Husky brand - 1/4in x 4in slotted screwdriver - Red / Black handle
3365,Staple Gun,"Arrow T-50, Silver"
2565,Wire Strippers,"Klein, Yellow"
3238,Wire Strippers,
3366,Wire Strippers,
3288,Wire Strippers,
2626,Tape Measure,"25' Stanely, Silver"
2375,Tape Measure,12' Red
2927,Tape Measure,
3367,Tape Measure,
3368,Tape Measure,
3369,Tape Measure,
3370,Tape Measure,
3236,Stud Finder,
2179,Wind Meter,"SkyMate, Orange"
2764,Vice Grips,10'' Irwin
2721,Wrench,10'' Adjustable
2386,Ratchet,3/8'' Silver
2908,Level,Small
2384,Level,"Black & Decker, Orange"
2392,Square,"Swanson, Orange"
2092,Square,"Swanson, Silver"
2091,Square,"Swanson, Silver"
1752,Circular Saw,DeWalt
1647,Jigsaw,DeWalt
1616,Jigsaw,"Porter-Cable, Gray"
2935,Jigsaw,Yellow DeWalt jigsaw
2002,Square,"Swanson, Orange"
2003,Square,"Swanson, Orange"
2553,Broom,
3371,Broom,
3372,Broom,
3374,Broom,
3376,Broom,
3375,Dustpan,
2804,Broom,
2609,Clamp,"Irwin, Large, Blue"
2610,Clamp,"Irwin, Large, Blue"
3384,Screw driver,
2187,Tape Gun,
3386,Screw driver,
2195,Ladder,
1964,Pick,"Kobalt, Red"
3267,Screwdriver,Husky #1 x 4in Square Recess Screwdriver - Black / Clear handles
2146,Light,"Defiant, Red Headlamp"
1963,Pick,"Kobalt, Red"
3285,Screwdriver,3/16 flathead
3402,Screw driver,
1996,Flathead Screwdriver,"Kobalt, Mini, Red & Blue"
1970,Pick,"Kobalt, Red"
2327,Torx Screwdriver,Craftsman
3385,Screwdriver,
3269,Flathead Screwdriver,Husky brand - 1/4in x 4in slotted screwdriver - Red / Black handle
3249,Hex Screwdriver,
1965,Pick,"Kobalt, Red"
2338,Hex Wrench,5/16'' Bondhus
3278,Bit Holder,"3"""
3282,Drill Bit (large),3/8 inch
3253,Bit Holder,"4-3/4"""
2194,Stud Finder,
3377,Electrical Tester,
2617,Drill,Dewalt 18v
2618,Drill,Dewalt 18v
2882,Drill,DeWalt 20V MAX
2836,Drill,
2619,Drill,Dewalt 18v
2402,Drill,Dewalt 18v
1595,Drill,DeWalt 18v
2545,Drill,Dewalt 18v
2620,Drill,Dewalt 18v
2842,Drill,
1591,Drill,DeWalt 18v
1602,Drill,DeWalt 18v
2543,Drill,Dewalt 18v
2938,Drill,
2862,Drill,
2857,Drill,
2837,Drill,
2408,Drill,Dewalt 18v
2860,Drill,
2940,Impact Driver,
3389,Ladder,Short
3390,Ladder,Short
3391,Ladder,Short
3392,Ladder,Short
1452,Reel Tape Measure,300' Yellow
2856,Drill,broken
2883,Drill,Broken
2884,Drill,Broken
3388,Drill,Broken
3393,Ladder,
3394,Ladder,"Gorilla Ladder, extends to 18 feet"
3395,Ladder,"10’ orange, warner"
3396,Ladder,8’ Werner A-Frame
3397,Ladder,8’ Werner A-Frame
3398,Ladder,16’ extendible Louisville
2768,Hammer,Orange & Black
2928,Hammer,hammer
3399,Ladder,Folding 10’
2385,Tape Measure,"200' Lufkin, Orange"
1453,Reel Tape Measure,300' Black
