organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Spring Carnival Committee,Coordinator Shift,4/1/2022 20:00:00,4/2/2022 0:00:00,1,meribyte
Spring Carnival Committee,Coordinator Shift,4/1/2022 20:00:00,4/2/2022 0:00:00,1,jlareau
Spring Carnival Committee,Coordinator Shift,4/2/2022 0:00:00,4/2/2022 4:00:00,1,asgonzal
Spring Carnival Committee,Coordinator Shift,4/2/2022 4:00:00,4/2/2022 8:00:00,1,npc
Spring Carnival Committee,Coordinator Shift,4/2/2022 8:00:00,4/2/2022 12:00:00,1,ljj
Spring Carnival Committee,Coordinator Shift,4/2/2022 12:00:00,4/2/2022 16:00:00,1,erinpark
Spring Carnival Committee,Coordinator Shift,4/2/2022 16:00:00,4/2/2022 20:00:00,1,sguan2
Spring Carnival Committee,Coordinator Shift,4/2/2022 20:00:00,4/3/2022 0:00:00,1,rkcampbe
Spring Carnival Committee,Coordinator Shift,4/3/2022 0:00:00,4/3/2022 4:00:00,1,asgonzal
Spring Carnival Committee,Coordinator Shift,4/3/2022 4:00:00,4/3/2022 8:00:00,1,arjunram
Spring Carnival Committee,Coordinator Shift,4/3/2022 8:00:00,4/3/2022 12:00:00,1,asadalis
Spring Carnival Committee,Coordinator Shift,4/3/2022 12:00:00,4/3/2022 16:00:00,1,ssabraha
Spring Carnival Committee,Coordinator Shift,4/3/2022 16:00:00,4/3/2022 20:00:00,1,tparenti
Spring Carnival Committee,Coordinator Shift,4/3/2022 20:00:00,4/4/2022 0:00:00,1,sophiah
Spring Carnival Committee,Coordinator Shift,4/4/2022 0:00:00,4/4/2022 4:00:00,1,jhenley
Spring Carnival Committee,Coordinator Shift,4/4/2022 4:00:00,4/4/2022 8:00:00,1,asgonzal
Spring Carnival Committee,Coordinator Shift,4/4/2022 8:00:00,4/4/2022 12:00:00,1,sophiali
Spring Carnival Committee,Coordinator Shift,4/4/2022 12:00:00,4/4/2022 16:00:00,1,njpan
Spring Carnival Committee,Coordinator Shift,4/4/2022 16:00:00,4/4/2022 20:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/4/2022 20:00:00,4/5/2022 0:00:00,1,tianxinx
Spring Carnival Committee,Coordinator Shift,4/5/2022 0:00:00,4/5/2022 4:00:00,1,rstevens
Spring Carnival Committee,Coordinator Shift,4/5/2022 4:00:00,4/5/2022 8:00:00,1,rgodse
Spring Carnival Committee,Coordinator Shift,4/5/2022 8:00:00,4/5/2022 12:00:00,1,mwzhang
Spring Carnival Committee,Coordinator Shift,4/5/2022 12:00:00,4/5/2022 16:00:00,1,ayk2
Spring Carnival Committee,Coordinator Shift,4/5/2022 16:00:00,4/5/2022 20:00:00,1,ipdong
Spring Carnival Committee,Coordinator Shift,4/5/2022 20:00:00,4/6/2022 0:00:00,1,anjianh
Spring Carnival Committee,Coordinator Shift,4/6/2022 0:00:00,4/6/2022 4:00:00,1,meribyte
Spring Carnival Committee,Coordinator Shift,4/6/2022 4:00:00,4/6/2022 8:00:00,1,ananjapp
Spring Carnival Committee,Coordinator Shift,4/6/2022 8:00:00,4/6/2022 12:00:00,1,ananjapp
Spring Carnival Committee,Coordinator Shift,4/6/2022 12:00:00,4/6/2022 16:00:00,1,mdai2
Spring Carnival Committee,Coordinator Shift,4/6/2022 16:00:00,4/6/2022 20:00:00,1,tparenti
Spring Carnival Committee,Coordinator Shift,4/6/2022 20:00:00,4/7/2022 0:00:00,1,anjianh
Spring Carnival Committee,Coordinator Shift,4/7/2022 0:00:00,4/7/2022 4:00:00,1,amulgrew
Spring Carnival Committee,Coordinator Shift,4/7/2022 4:00:00,4/7/2022 8:00:00,1,jmmclaug
Spring Carnival Committee,Coordinator Shift,4/7/2022 8:00:00,4/7/2022 12:00:00,1,jessief
Spring Carnival Committee,Coordinator Shift,4/7/2022 12:00:00,4/7/2022 16:00:00,1,meribyte
Spring Carnival Committee,Coordinator Shift,4/7/2022 16:00:00,4/7/2022 20:00:00,1,euniceoh
Spring Carnival Committee,Coordinator Shift,4/7/2022 20:00:00,4/8/2022 0:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/8/2022 0:00:00,4/8/2022 4:00:00,1,engo
Spring Carnival Committee,Coordinator Shift,4/8/2022 4:00:00,4/8/2022 8:00:00,1,zihenglu
Spring Carnival Committee,Coordinator Shift,4/8/2022 8:00:00,4/8/2022 12:00:00,1,arrshiak
Spring Carnival Committee,Coordinator Shift,4/8/2022 12:00:00,4/8/2022 16:00:00,1,
Spring Carnival Committee,Coordinator Shift,4/8/2022 16:00:00,4/8/2022 20:00:00,1,daggarwa
Spring Carnival Committee,Coordinator Shift,4/8/2022 20:00:00,4/9/2022 0:00:00,1,ghmiller
Spring Carnival Committee,Coordinator Shift,4/9/2022 0:00:00,4/9/2022 4:00:00,1,tfwan
