organization,shift_type,starts_at,ends_at,required_number_of_participants,andrewid
Delta Gamma,Watch Shift,4/5/2022 13:00:00,4/5/2022 15:00:00,2,
Delta Tau Delta,Watch Shift,4/5/2022 15:00:00,4/5/2022 17:00:00,2,
Chinese Students Association,Watch Shift,4/5/2022 17:00:00,4/5/2022 19:00:00,2,
Taiwanese Students Association,Watch Shift,4/5/2022 19:00:00,4/5/2022 21:00:00,2
Asian Students Association,Watch Shift,4/5/2022 21:00:00,4/5/2022 23:00:00,2
Alpha Phi Omega,Watch Shift,4/5/2022 23:00:00,4/6/2022 1:00:00,2
Phi Delta Theta,Watch Shift,4/6/2022 1:00:00,4/6/2022 3:00:00,2
Sigma Phi Epsilon,Watch Shift,4/6/2022 3:00:00,4/6/2022 5:00:00,2
Alpha Chi Omega,Watch Shift,4/6/2022 5:00:00,4/6/2022 7:00:00,2
Delta Delta Delta,Watch Shift,4/6/2022 7:00:00,4/6/2022 9:00:00,2
Delta Gamma,Watch Shift,4/6/2022 9:00:00,4/6/2022 11:00:00,2
Kappa Kappa Gamma,Watch Shift,4/6/2022 11:00:00,4/6/2022 13:00:00,2
Chinese Students Association,Watch Shift,4/6/2022 13:00:00,4/6/2022 15:00:00,2
Alpha Chi Omega,Watch Shift,4/6/2022 15:00:00,4/6/2022 17:00:00,2
Singapore Students Association,Watch Shift,4/6/2022 17:00:00,4/6/2022 19:00:00,2
Kappa Alpha Theta,Watch Shift,4/6/2022 19:00:00,4/6/2022 21:00:00,2
Delta Tau Delta,Watch Shift,4/6/2022 21:00:00,4/6/2022 23:00:00,2
Asian Students Association,Watch Shift,4/6/2022 23:00:00,4/7/2022 1:00:00,2
Kappa Sigma,Watch Shift,4/7/2022 1:00:00,4/7/2022 3:00:00,2
KGB,Watch Shift,4/7/2022 3:00:00,4/7/2022 5:00:00,2
Phi Delta Theta,Watch Shift,4/7/2022 5:00:00,4/7/2022 7:00:00,2
Delta Delta Delta,Watch Shift,4/7/2022 7:00:00,4/7/2022 9:00:00,2
Fringe,Watch Shift,4/7/2022 9:00:00,4/7/2022 11:00:00,2
Singapore Students Association,Watch Shift,4/7/2022 11:00:00,4/7/2022 13:00:00,2
Alpha Chi Omega,Watch Shift,4/7/2022 13:00:00,4/7/2022 15:00:00,2
Kappa Alpha Theta,Watch Shift,4/7/2022 15:00:00,4/7/2022 17:00:00,2
Asian Students Association,Watch Shift,4/7/2022 17:00:00,4/7/2022 19:00:00,2
Chinese Students Association,Watch Shift,4/7/2022 19:00:00,4/7/2022 21:00:00,2
Astronomy Club,Watch Shift,4/7/2022 21:00:00,4/7/2022 23:00:00,2
Fringe,Watch Shift,4/7/2022 23:00:00,4/8/2022 1:00:00,2
Alpha Epsilon Pi,Watch Shift,4/8/2022 1:00:00,4/8/2022 3:00:00,2
Taiwanese Students Association,Watch Shift,4/8/2022 3:00:00,4/8/2022 5:00:00,2
Phi Delta Theta,Watch Shift,4/8/2022 5:00:00,4/8/2022 7:00:00,2
Delta Tau Delta,Watch Shift,4/8/2022 7:00:00,4/8/2022 9:00:00,2
Alpha Phi,Watch Shift,4/8/2022 9:00:00,4/8/2022 11:00:00,2
Singapore Students Association,Watch Shift,4/8/2022 11:00:00,4/8/2022 13:00:00,2
Alpha Phi Omega,Watch Shift,4/8/2022 13:00:00,4/8/2022 15:00:00,2
Asian Students Association,Watch Shift,4/8/2022 15:00:00,4/8/2022 17:00:00,2
Chinese Students Association,Watch Shift,4/8/2022 17:00:00,4/8/2022 19:00:00,2
Fringe,Watch Shift,4/8/2022 19:00:00,4/8/2022 21:00:00,2
Kappa Sigma,Watch Shift,4/8/2022 21:00:00,4/8/2022 23:00:00,2
Alpha Phi Omega,Watch Shift,4/8/2022 23:00:00,4/9/2022 1:00:00,2
Alpha Epsilon Pi,Watch Shift,4/9/2022 1:00:00,4/9/2022 3:00:00,2
KGB,Watch Shift,4/9/2022 3:00:00,4/9/2022 5:00:00,2
Phi Delta Theta,Watch Shift,4/9/2022 5:00:00,4/9/2022 7:00:00,2
Delta Delta Delta,Watch Shift,4/9/2022 7:00:00,4/9/2022 9:00:00,2
Astronomy Club,Watch Shift,4/9/2022 9:00:00,4/9/2022 11:00:00,2
Delta Tau Delta,Watch Shift,4/9/2022 11:00:00,4/9/2022 13:00:00,2
Alpha Chi Omega,Watch Shift,4/9/2022 13:00:00,4/9/2022 15:00:00,2
Fringe,Watch Shift,4/9/2022 15:00:00,4/9/2022 17:00:00,2
Singapore Students Association,Watch Shift,4/9/2022 17:00:00,4/9/2022 19:00:00,2
Astronomy Club,Watch Shift,4/9/2022 19:00:00,4/9/2022 21:00:00,2
KGB,Watch Shift,4/9/2022 21:00:00,4/9/2022 23:00:00,2
Asian Students Association,Watch Shift,4/9/2022 23:00:00,4/10/2022 1:00:00,2
Alpha Epsilon Pi,Watch Shift,4/10/2022 1:00:00,4/10/2022 3:00:00,2
Phi Delta Theta,Watch Shift,4/10/2022 3:00:00,4/10/2022 5:00:00,2
Kappa Sigma,Watch Shift,4/10/2022 5:00:00,4/10/2022 7:00:00,2
Delta Delta Delta,Watch Shift,4/10/2022 7:00:00,4/10/2022 9:00:00,2
Sigma Phi Epsilon,Watch Shift,4/10/2022 9:00:00,4/10/2022 11:00:00,2
Alpha Phi,Watch Shift,4/10/2022 11:00:00,4/10/2022 13:00:00,2
Alpha Chi Omega,Watch Shift,4/10/2022 13:00:00,4/10/2022 15:00:00,2
Fringe,Watch Shift,4/10/2022 15:00:00,4/10/2022 17:00:00,2
Singapore Students Association,Watch Shift,4/10/2022 17:00:00,4/10/2022 19:00:00,2
