name,organization_category,short_name,is_building,booth_type
Spring Carnival Committee,SCC,SCC,FALSE,
Alpha Epsilon Pi,Fraternity,AEPi,TRUE,two_story
Alpha Phi Omega,Other Building,APhiO,TRUE,one_story
Phi Delta Theta,Fraternity,PhiDelt,TRUE,two_story
Sigma Phi Epsilon,Fraternity,SigEp,TRUE,two_story
Alpha Chi Omega,Sorority,AXO,TRUE,one_story
Alpha Phi,Sorority,APhi,TRUE,one_story
Delta Delta Delta,Sorority,TriDelt,TRUE,one_story
Delta Gamma,Sorority,DG,TRUE,two_story
Kappa Alpha Theta,Sorority,Theta,TRUE,two_story
Kappa Kappa Gamma,Sorority,Kappa,TRUE,two_story
Asian Student Association,Independent,ASA,TRUE,two_story
Chinese Students Association,Independent,CSA,TRUE,one_story
Fringe,Independent,,TRUE,one_story
Student Dormitory Council,Independent,SDC,TRUE,one_story
TSA/HKSA,Independent,,TRUE,one_story
ASCE/Sustainable Earch/TPEG,Blitz,,TRUE,
KGB/RoboClub,Blitz,,TRUE,
MENASA/Spirit,Blitz,,TRUE,
Society of Women Engineers,Blitz,SWE,TRUE,
IEEE/WinECE,Doghouse,,TRUE,
SHPE/SALSA/LGSA,Doghouse,,TRUE,
Mayur SASE,Doghouse,,TRUE,
ScottyLabs,Doghouse,,TRUE,
Society of Asian Scientists and Engineers,Doghouse,SASE,TRUE,
Awareness of Roots in Chinese Culture,Doghouse,ARCC,TRUE,
Biological Sciences Student Advisory Council,Doghouse,BioSAC,TRUE,
TartanAUV,Doghouse,Senate,TRUE,
FirstTogether,Doghouse,Senate,TRUE,
Multicultural Greek Council,Doghouse,Senate,TRUE,
Architectural Crafts Collective,Other Building,ACC,TRUE,
Department of Student Affairs,Staff,DoSA,FALSE,
